Date_of_analysis,Cruise,Latitude,Longitude,Sampling_date_(UTC),Station,Sample_code,Phytofloat_sample,CTD,Bottle,Depth_(m),Filtered_Vol_(L),Chlorophyllide_b,Chldb-QA,Chlorophyll_c3,Chlc3-QA,Chlorophyll_c1+c2+MgDVP,Chlc2-QA,Chlorophyllid_a,Chlda-QA,Peridinin,Peri-QA,Phaeophorbid_a,Phda-QA,19'-Butanoyloxyfucoxanthin,But-QA,Fucoxanthin,Fuco-QA,Neoxanthin,Neo-QA,19'-Hex-4-ketofucoxanthin,Hex4k-QA,Prasinoxanthin,Pras-QA,Violaxanthin,Viola-QA,19'-Hexanoyloxyfucoxanthin,Hex-QA,Diadinoxanthin,Diadino-QA,Antheraxanthin,Anthera-QA,Alloxanthin,Allo-QA,Monadoxanthin,Monado-QA,Diatoxanthin,Diato-QA,Zeaxanthin,Zea-QA,Lutein,Lut-QA,Bacteriochlorophyll_a,Bchla-QA,TChlb,TChlb-QA,Chlc2-MGDG,Chlc2MGDV-QA,Divinyl_Chlorophyll_a,DVChla-QA,Chlorophyll_a,Chla-QA,Total_Chlorophyll_a,Tchla-QA,Phaeophytin_a,Phytna-QA,Sum_Carotenes,Tcar-QA,Observations,fuco,HF+BF,HF+BF/fuco
24/08/2022,CE22009,57.4783,-48.6160,19/05/2022,3,CE22009_002_03,PF,2,3,181,1.00,,1,0.0018,1,0.0013,1,,1,,1,0.0076,1,0.0020,1,0.0044,1,,1,,2,,1,,1,0.0025,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0178,1,0.0178,1,,1,,1,0,0.0044,0.0045,1.02272727272727
24/08/2022,CE22009,57.4782,-48.6159,19/05/2022,3,CE22009_002_19,PF,2,19,26,0.43,,1,0.5057,1,0.5474,1,,1,,1,0.0563,1,0.0314,1,0.8252,1,,1,0.0603,1,,1,,1,0.1412,1,0.0715,1,,1,0.0065,1,,1,,1,0.0091,1,,1,,1,0.0395,1,0.1590,1,,1,3.2393,1,3.2393,1,0.0553,1,0.0300,1,0,0.8252,0.1726,0.209161415414445
24/08/2022,CE22009,57.4782,-48.6160,19/05/2022,3,CE22009_002_22,PF,2,22,4,0.62,,1,0.1971,1,0.2747,1,,1,0.1090,1,0.0327,1,0.0243,1,0.3378,1,,1,0.0272,1,,1,,1,0.1078,1,0.0648,1,,1,0.0179,1,,1,0.0083,1,0.0108,1,,1,,1,0.0423,1,0.0678,1,,1,1.7071,1,1.7071,1,,1,0.0195,1,0,0.3378,0.1321,0.391059798697454
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_09,0,8,9,205,0.50,,1,0.0077,1,0.0059,1,,1,,1,0.0127,1,,1,0.0162,1,,1,,1,,1,,1,0.0045,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0569,1,0.0569,1,,1,0.0274,1,0,0.0162,0.0045,0.277777777777778
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_10,0,8,10,154,0.50,,1,0.0379,1,0.0269,1,,1,,1,0.0511,1,0.0053,1,0.0724,1,,1,0.0068,1,,1,,1,0.0114,1,0.0090,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0125,1,,1,0.2547,1,0.2547,1,0.0115,1,0.0054,1,0,0.0724,0.0167,0.230662983425414
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_11,0,8,11,132,0.50,,1,0.0998,1,0.0686,1,,1,,1,0.0627,1,0.0063,1,0.1809,1,,1,0.0174,1,,1,,1,0.0166,1,0.0190,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0295,1,,1,0.6068,1,0.6068,1,0.0223,1,0.0100,1,0,0.1809,0.0229,0.126589275843007
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_12,0,8,12,112,0.50,,1,0.2180,1,0.1481,1,,1,,1,0.0699,1,0.0082,1,0.3759,1,,1,0.0315,1,,1,,1,0.0271,1,0.0415,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0204,1,,1,1.2648,1,1.2648,1,0.0433,1,0.0191,1,0,0.3759,0.0353,0.09390795424315
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_13,0,8,13,92,0.50,,1,0.3756,1,0.2905,1,,1,,1,0.0613,1,0.0141,1,0.6863,1,,1,0.0595,1,,1,,1,0.0508,1,0.0714,1,,1,,1,,1,,1,,1,,1,,1,,1,0.1209,1,,1,2.3440,1,2.3440,1,0.0675,1,0.0323,1,0,0.6863,0.0649,0.094565059012094
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_14,0,8,14,77,0.50,,1,0.4962,1,0.3799,1,,1,,1,0.0591,1,0.0243,1,0.8207,1,,1,0.0713,1,,1,,1,0.0825,1,0.0809,1,,1,,1,,1,,1,0.0079,1,,1,,1,,1,0.1416,1,,1,2.8840,1,2.8840,1,0.0566,1,0.0354,1,0,0.8207,0.1068,0.130132813451931
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_21,0,8,21,52,0.50,,1,0.4667,1,0.4466,1,,1,,1,0.0710,1,0.0375,1,0.9293,1,,1,0.0947,1,,1,,1,0.1332,1,0.0787,1,,1,,1,,1,,1,0.0168,1,,1,,1,,1,0.1739,1,,1,3.0143,1,3.0143,1,0.0567,1,0.0340,1,0,0.9293,0.1707,0.183686645862477
22/08/2022,CE22009,58.8168,-49.1100,20/05/2022,4,CE22009_008_22,0,8,22,26,0.50,,1,0.2562,1,0.2903,1,,1,0.0296,1,0.0449,1,0.0281,1,0.4558,1,,1,0.0360,1,,1,,1,0.1612,1,0.0477,1,,1,0.0064,1,,1,,1,0.0200,1,,1,,1,,1,0.0924,1,,1,1.7510,1,1.7510,1,0.0278,1,0.0176,1,0,0.4558,0.1893,0.415313734093901
22/08/2022,CE22009,58.8168,-49.1101,20/05/2022,4,CE22009_008_23,0,8,23,15,0.50,,1,0.0911,1,0.1563,1,,1,0.0695,1,,1,0.0229,1,0.1945,1,,1,0.0143,1,,1,,1,0.0876,1,0.0550,1,,1,0.0754,1,,1,0.0081,1,0.0183,1,,1,,1,,1,0.0571,1,,1,1.1619,1,1.1619,1,,1,0.0214,1,0,0.1945,0.1105,0.568123393316195
22/08/2022,CE22009,58.8168,-49.1101,20/05/2022,4,CE22009_008_24,0,8,24,5,0.50,,1,0.0506,1,0.0883,1,,1,0.0713,1,,1,0.0139,1,0.1085,1,,1,0.0092,1,,1,,1,0.0500,1,0.0468,1,,1,0.0383,1,,1,0.0109,1,0.0159,1,,1,,1,0.0128,1,0.0189,1,,1,0.6762,1,0.6762,1,,1,0.0552,1,0,0.1085,0.0639,0.588940092165899
24/08/2022,CE22009,58.8168,-49.4431,21/05/2022,6,CE22009_011_09,0,11,9,203,0.50,,1,0.0189,1,0.0121,1,,1,,1,0.0249,1,,1,0.0459,1,,1,0.0044,2,,1,,1,0.0045,1,0.0047,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0070,1,,1,0.1071,1,0.1071,1,0.0059,1,0.0028,1,0,0.0459,0.0045,0.098039215686275
24/08/2022,CE22009,58.8168,-49.4430,21/05/2022,6,CE22009_011_11,PF,11,11,182,0.50,,1,0.0171,1,0.0124,1,,1,,1,0.0166,1,,1,0.0435,1,,1,0.0039,1,,1,,1,0.0056,1,0.0045,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0063,1,,1,0.1122,1,0.1122,1,0.0068,1,0.0024,1,0,0.0435,0.0056,0.128735632183908
24/08/2022,CE22009,58.8168,-49.4430,21/05/2022,6,CE22009_011_12,0,11,12,152,0.50,,1,0.0543,1,0.0366,1,,1,,1,0.0336,1,,1,0.1230,1,,1,0.0132,1,,1,,1,0.0115,1,0.0121,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0209,1,,1,0.3266,1,0.3266,1,0.0209,1,0.0065,1,0,0.1230,0.0115,0.09349593495935
24/08/2022,CE22009,58.8168,-49.4430,21/05/2022,6,CE22009_011_13,0,11,13,127,0.50,,1,0.0750,1,0.0474,1,,1,,1,0.0260,1,0.0046,1,0.1596,1,,1,0.0159,1,,1,,1,0.0154,1,0.0157,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0250,1,,1,0.4212,1,0.4212,1,0.0198,1,0.0074,1,0,0.1596,0.0200,0.12531328320802
24/08/2022,CE22009,58.8168,-49.4430,21/05/2022,6,CE22009_011_14,0,11,14,102,0.50,,1,0.1562,1,0.1106,1,,1,,1,0.0402,1,0.0088,1,0.3213,1,,1,0.0310,1,,1,,1,0.0283,1,0.0313,1,,1,,1,,1,0.0175,1,,1,,1,,1,,1,0.0552,1,,1,0.8695,1,0.8695,1,0.0390,1,0.0141,1,0,0.3213,0.0371,0.115468409586057
24/08/2022,CE22009,58.8168,-49.4431,21/05/2022,6,CE22009_011_15,0,11,15,82,0.50,,1,0.1892,1,0.1362,1,,1,,1,0.0605,1,0.0140,1,0.4726,1,,1,0.0466,1,,1,,1,0.0384,1,0.0481,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0754,1,,1,1.1356,1,1.1356,1,0.0519,1,0.0186,1,0,0.4726,0.0524,0.11087600507829
24/08/2022,CE22009,58.8168,-49.4431,21/05/2022,6,CE22009_011_20,PF,11,20,51,0.50,,1,0.3572,1,0.2940,1,,1,,1,0.0477,1,0.0271,1,0.8257,1,,1,0.0859,1,,1,,1,0.0778,1,0.0722,1,,1,,1,,1,,1,,1,,1,,1,,1,0.1367,1,,1,1.9613,1,1.9613,1,0.0487,1,0.0266,1,0,0.8257,0.1049,0.127043720479593
24/08/2022,CE22009,58.8168,-49.4430,21/05/2022,6,CE22009_011_22,0,11,22,25,0.50,,1,0.1317,1,0.1503,1,,1,0.0470,1,,1,0.0335,1,0.3194,1,,1,0.0265,1,,1,,1,0.1291,1,0.0582,1,,1,0.0427,1,,1,0.0069,1,0.0235,1,,1,,1,,1,0.0586,1,,1,0.9926,1,0.9926,1,,1,0.0212,1,0,0.3194,0.1626,0.509079524107702
24/08/2022,CE22009,58.8168,-49.4430,21/05/2022,6,CE22009_011_23,PF,11,23,5,0.50,,1,0.0940,1,0.1430,1,,1,0.0573,1,,1,0.0391,1,0.1727,1,,1,0.0187,1,,1,,1,0.1702,1,0.0922,1,,1,0.0767,1,,1,0.0123,1,0.0224,1,,1,,1,,1,0.0497,1,,1,0.9603,1,0.9603,1,,1,0.0233,1,0,0.1727,0.2093,1.21192819918935
01/08/2022,CE22009,58.6500,-49.3599,22/05/2022,9,CE22009_014_11,0,14,11,202,0.50,,1,0.0274,1,0.0167,1,,1,,1,0.0301,1,,1,0.0513,1,,1,0.0055,2,,1,,1,0.0057,1,0.0056,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0091,1,,1,0.1587,1,0.1587,1,,1,0.0031,1,0,0.0513,0.0057,0.111111111111111
01/08/2022,CE22009,58.6500,-49.3599,22/05/2022,9,CE22009_014_13,0,14,13,182,0.50,,1,0.0504,1,0.0350,1,,1,,1,0.0723,1,0.0040,1,0.0913,1,,1,0.0096,1,,1,,1,0.0105,1,0.0102,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0178,1,,1,0.2891,1,0.2891,1,0.0121,1,0.0054,1,0,0.0913,0.0145,0.15881708652793
01/08/2022,CE22009,58.6501,-49.3600,22/05/2022,9,CE22009_014_14,0,14,14,152,0.50,,1,0.1502,1,0.0965,1,,1,,1,0.0610,1,0.0084,1,0.2731,1,,1,0.0250,1,,1,,1,0.0242,1,0.0258,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0515,1,,1,0.8165,1,0.8165,1,0.0245,1,0.0120,1,0,0.2731,0.0326,0.119370194068107
01/08/2022,CE22009,58.6501,-49.3600,22/05/2022,9,CE22009_014_15,0,14,15,122,0.50,,1,0.2144,1,0.1406,1,,1,,1,0.0615,1,0.0098,1,0.3861,1,,1,0.0372,1,,1,,1,0.0319,1,0.0367,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0761,1,,1,1.1806,1,1.1806,1,0.0495,1,0.0181,1,0,0.3861,0.0417,0.108003108003108
01/08/2022,CE22009,58.6500,-49.3600,22/05/2022,9,CE22009_014_16,0,14,16,103,0.50,,1,0.2874,1,0.1901,1,,1,,1,0.0385,1,0.0136,1,0.5433,1,,1,0.0511,1,,1,,1,0.0390,1,0.0494,1,,1,,1,,1,,1,,1,,1,,1,,1,0.1012,1,,1,1.5507,1,1.5507,1,0.0600,1,0.0219,1,0,0.5433,0.0526,0.096815755567826
01/08/2022,CE22009,58.6500,-49.3600,22/05/2022,9,CE22009_014_18,0,14,18,82,0.50,,1,0.4200,1,0.3249,1,,1,,1,0.0538,1,0.0222,1,0.7641,1,,1,0.0746,1,,1,,1,0.0694,1,0.0690,1,,1,,1,,1,,1,,1,,1,,1,,1,0.1447,1,,1,2.1922,1,2.1922,1,0.0655,1,0.0301,1,0,0.7641,0.0916,0.119879596911399
01/08/2022,CE22009,58.6501,-49.3599,22/05/2022,9,CE22009_014_19,0,14,19,62,0.50,,1,0.3949,1,0.3195,1,,1,,1,0.0459,1,0.0279,1,0.7521,1,,1,0.0740,1,,1,,1,0.0823,1,0.0648,1,,1,,1,,1,,1,0.0072,1,,1,,1,,1,0.1421,1,,1,2.0709,1,2.0709,1,0.0495,1,0.0288,1,0,0.7521,0.1102,0.146523068740859
01/08/2022,CE22009,58.6500,-49.3600,22/05/2022,9,CE22009_014_21,0,14,21,43,0.50,,1,0.4344,1,0.2970,1,,1,,1,0.0464,1,0.0430,1,0.7264,1,,1,0.0858,1,,1,,1,0.1903,1,0.0570,1,,1,,1,,1,,1,0.0162,1,,1,,1,,1,0.1516,1,,1,2.0612,1,2.0612,1,0.0427,1,0.0260,1,0,0.7264,0.2333,0.321172907488987
01/08/2022,CE22009,58.6500,-49.3600,22/05/2022,9,CE22009_014_22,0,14,22,20,0.50,,1,0.1810,1,0.1627,1,,1,0.0244,1,,1,0.0287,1,0.3537,1,,1,0.0292,1,,1,,1,0.1091,1,0.0414,1,,1,0.0119,1,,1,,1,0.0172,1,,1,,1,,1,0.0630,1,,1,1.0694,1,1.0694,1,0.0177,1,0.0149,1,0,0.3537,0.1378,0.389595702572802
01/08/2022,CE22009,58.6501,-49.3599,22/05/2022,9,CE22009_014_24,0,14,24,5,0.50,,1,0.1825,1,0.1664,1,,1,0.0362,1,,1,0.0275,1,0.3300,1,,1,0.0289,1,,1,,1,0.1001,1,0.0440,1,,1,0.0139,1,,1,0.0048,1,0.0151,1,,1,,1,,1,0.0645,1,,1,1.0687,1,1.0687,1,0.0219,1,0.0143,1,0,0.3300,0.1276,0.386666666666667
22/08/2022,CE22009,58.6500,-49.6099,23/05/2022,8,CE22009_017_11,PF,17,11,152,1.00,,1,0.0559,1,0.0366,1,,1,,1,0.0425,1,0.0043,1,0.1180,1,,1,0.0117,1,,1,,1,0.0106,1,0.0116,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0201,1,,1,0.3262,1,0.3262,1,0.0205,1,0.0051,1,0,0.1180,0.0149,0.126271186440678
22/08/2022,CE22009,58.6501,-49.6099,23/05/2022,8,CE22009_017_20,PF,17,20,56,1.00,,1,0.3459,1,0.2313,1,,1,,1,0.1233,1,0.0267,1,0.7372,1,,1,0.0837,1,,1,,1,0.0936,1,0.0610,1,,1,,1,,1,0.0042,1,0.0066,1,,1,,1,,1,0.1327,1,,1,1.7334,1,1.7334,1,0.0867,1,0.0256,1,0,0.7372,0.1203,0.163185024416712
22/08/2022,CE22009,58.6501,-49.6099,23/05/2022,8,CE22009_017_23,PF,17,23,5,1.00,,1,0.1288,1,0.1213,1,,1,0.0363,1,,1,0.0302,1,0.2255,1,,1,0.0241,1,,1,,1,0.1050,1,0.0639,1,,1,0.0266,1,,1,0.0092,1,0.0177,1,,1,,1,0.0092,1,0.0472,1,,1,0.8575,1,0.8575,1,,1,0.0154,1,0,0.2255,0.1352,0.599556541019956
22/08/2022,CE22009,58.6498,-49.1095,24/05/2022,11,CE22009_021_10,0,21,10,181,0.50,,1,0.0312,1,0.0183,1,,1,,1,0.0199,1,0.0046,1,0.0567,1,,1,0.0076,2,,1,,1,0.0134,1,0.0065,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0119,1,,1,0.1621,1,0.1621,1,,1,0.0034,1,0,0.0567,0.0180,0.317460317460317
22/08/2022,CE22009,58.6498,-49.1093,24/05/2022,11,CE22009_021_11,0,21,11,152,0.50,,1,0.0778,1,0.0453,1,,1,,1,,1,0.0074,1,0.1257,1,,1,0.0184,1,,1,,1,0.0324,1,0.0130,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0253,1,,1,0.3725,1,0.3725,1,0.0152,1,0.0061,1,0,0.1257,0.0398,0.316626889419252
22/08/2022,CE22009,58.6498,-49.1093,24/05/2022,11,CE22009_021_12,0,21,12,122,0.50,,1,0.1599,1,0.0936,1,,1,,1,,1,0.0128,1,0.2465,1,,1,0.0329,1,,1,,1,0.0547,1,0.0253,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0481,1,,1,0.7535,1,0.7535,1,0.0270,1,0.0123,1,0,0.2465,0.0675,0.273833671399594
22/08/2022,CE22009,58.6499,-49.1093,24/05/2022,11,CE22009_021_13,0,21,13,76,0.50,,1,0.4976,1,0.2945,1,,1,,1,0.0684,1,0.0336,1,0.7415,1,,1,0.1094,1,,1,,1,0.1775,1,0.0711,1,,1,,1,,1,,1,,1,,1,,1,,1,0.1484,1,,1,2.2168,1,2.2168,1,0.0567,1,0.0324,1,0,0.7415,0.2111,0.284693189480782
22/08/2022,CE22009,58.6499,-49.1094,24/05/2022,11,CE22009_021_14,0,21,14,56,0.50,,1,0.7805,1,0.4734,1,,1,,1,0.1087,1,0.0548,1,1.0724,1,,1,0.1628,1,,1,,1,0.3002,1,0.1009,1,,1,,1,,1,,1,,1,,1,,1,0.0283,1,0.2365,1,,1,3.3589,1,3.3589,1,0.0607,1,0.1158,1,0,1.0724,0.3550,0.331033196568445
22/08/2022,CE22009,58.6498,-49.1091,24/05/2022,11,CE22009_021_21,0,21,21,42,0.50,,1,0.1934,1,0.1861,1,,1,0.0600,1,0.0462,1,0.0565,1,0.3236,1,,1,0.0433,1,,1,,1,0.2436,1,0.0693,1,,1,0.0275,1,,1,0.0065,1,0.0208,1,,1,,1,0.0259,1,0.0709,1,,1,1.2535,1,1.2535,1,0.0159,1,0.1046,1,0,0.3236,0.3001,0.927379480840544
22/08/2022,CE22009,58.6499,-49.1093,24/05/2022,11,CE22009_021_22,0,21,22,27,0.50,,1,0.1786,1,0.1639,1,,1,0.0564,1,,1,0.0494,1,0.2972,1,,1,0.0389,1,,1,,1,0.2112,1,0.0624,1,,1,0.0276,1,,1,0.0056,1,0.0201,1,,1,,1,0.0237,1,0.0650,1,,1,1.1544,1,1.1544,1,,1,0.0202,1,0,0.2972,0.2606,0.876850605652759
22/08/2022,CE22009,58.6499,-49.1093,24/05/2022,11,CE22009_021_23,0,21,23,17,0.50,,1,0.1895,1,0.1761,1,,1,0.0591,1,,1,0.0525,1,0.2851,1,,1,0.0381,1,,1,,1,0.2478,1,0.0666,1,,1,0.0292,1,,1,0.0068,1,0.0188,1,,1,,1,0.0250,1,0.0724,1,,1,1.2015,1,1.2015,1,,1,0.0195,1,0,0.2851,0.3003,1.05331462644686
22/08/2022,CE22009,58.6499,-49.1092,24/05/2022,11,CE22009_021_24,0,21,24,7,0.50,,1,0.1898,1,0.1806,1,,1,0.0638,1,,1,0.0516,1,0.3064,1,,1,0.0416,1,,1,0.0025,1,0.2236,1,0.0665,1,,1,0.0309,1,,1,0.0069,1,0.0199,1,,1,,1,0.0244,1,0.0703,1,,1,1.1969,1,1.1969,1,,1,0.0202,1,0,0.3064,0.2752,0.898172323759791
